CLASS,CLASS_CODE,COMM_CODE,NEIGHBORHOOD,RES_CNT,LATITUDE,LONGITUDE
Residential,1,ABB,ABBEYDALE,5957,51.066971,-113.935119
Residential,1,ACA,ACADIA,10520,50.980779,-114.050012
Residential,1,ALB,ALBERT PARK/RADISSON HEIGHTS,6997,51.045153,-113.981603
Residential,1,ALT,ALTADORE,6942,51.023194,-114.100546
Residential,1,APP,APPLEWOOD PARK,6981,51.045203,-113.92122
Residential,1,ARB,ARBOUR LAKE,10619,51.142712,-114.195875
Residential,1,ASP,ASPEN WOODS,9446,51.052428,-114.210951
Residential,1,AUB,AUBURN BAY,17607,50.882577,-113.956713
Residential,1,BNF,BANFF TRAIL,4153,51.080553,-114.117886
Residential,1,BNK,BANKVIEW,5256,51.037828,-114.104906
Residential,1,BYV,BAYVIEW,751,50.975488,-114.11307
Residential,1,BED,BEDDINGTON HEIGHTS,11514,51.132128,-114.065193
Residential,1,BEL,BEL-AIRE,390,51.001385,-114.082991
Residential,1,BLM,BELMONT,86,50.872108,-114.056231
Residential,1,BLN,BELTLINE,25129,51.04034,-114.045847
Residential,1,BVD,BELVEDERE,41,51.0452,-113.888665
Residential,1,BDO,BONAVISTA DOWNS,928,50.948144,-114.026556
Residential,1,BOW,BOWNESS,11150,51.098837,-114.227892
Residential,1,BRA,BRAESIDE,5805,50.961533,-114.095208
Residential,1,BRE,BRENTWOOD,7267,51.083604,-114.124921
Residential,1,BRD,BRIDGELAND/RIVERSIDE,6835,51.058515,-114.038292
Residential,1,BRI,BRIDLEWOOD,12641,50.894649,-114.093952
Residential,1,BRT,BRITANNIA,690,51.016242,-114.078589
Residential,1,CAM,CAMBRIAN HEIGHTS,2036,51.090277,-114.088535
Residential,1,CAN,CANYON MEADOWS,7624,50.939443,-114.069348
Residential,1,CAP,CAPITOL HILL,4744,51.074367,-114.095018
Residential,1,CAR,CARRINGTON,572,51.197898,-114.082944
Residential,1,CAS,CASTLERIDGE,6127,51.100342,-113.958257
Residential,1,CED,CEDARBRAE,6094,50.963842,-114.141136
Residential,1,CHA,CHAPARRAL,12654,50.893508,-114.01206
Residential,1,CHW,CHARLESWOOD,3569,51.081657,-114.108575
Residential,1,CHN,CHINATOWN,2471,51.051543,-114.060117
Residential,1,CHK,CHINOOK PARK,1662,50.986889,-114.094188
Residential,1,CHR,CHRISTIE PARK,2128,51.04247,-114.181316
Residential,1,CIT,CITADEL,10077,51.149174,-114.167183
Residential,1,CSC,CITYSCAPE,3104,51.154308,-113.9525
Residential,1,CLI,CLIFF BUNGALOW,1895,51.037831,-114.071482
Residential,1,COA,COACH HILL,3244,51.061271,-114.18248
Residential,1,COL,COLLINGWOOD,2249,51.080426,-114.094733
Residential,1,CPF,COPPERFIELD,13823,50.908553,-113.907039
Residential,1,COR,CORAL SPRINGS,5801,51.110637,-113.920327
Residential,1,CNS,CORNERSTONE,2648,51.176069,-113.918397
Residential,1,CGR,COUGAR RIDGE,6997,51.075569,-114.203865
Residential,1,COU,COUNTRY HILLS,3767,51.145173,-114.065477
Residential,1,CHV,COUNTRY HILLS VILLAGE,2597,51.154195,-114.05601
Residential,1,COV,COVENTRY HILLS,17667,51.175176,-114.03646
Residential,1,CRA,CRANSTON,19884,50.894975,-113.974318
Residential,1,CRE,CRESCENT HEIGHTS,6620,51.066977,-114.06325
Residential,1,CRM,CRESTMONT,1690,51.088584,-114.26907
Residential,1,CUR,CURRIE BARRACKS,1262,51.010102,-114.117967
Residential,1,DAL,DALHOUSIE,8940,51.10205,-114.143598
Residential,1,DRG,DEER RIDGE,3973,50.932652,-114.012894
Residential,1,DRN,DEER RUN,5065,50.938113,-114.011825
Residential,1,DIA,DIAMOND COVE,690,50.952615,-114.02252
Residential,1,DIS,DISCOVERY RIDGE,4280,51.008745,-114.187718
Residential,1,DDG,DOUGLASDALE/GLEN,12881,50.96499,-114.01897
Residential,1,DOV,DOVER,10351,51.030615,-113.964344
Residential,1,DNC,DOWNTOWN COMMERCIAL CORE,8683,51.050419,-114.08317
Residential,1,DNE,DOWNTOWN EAST VILLAGE,3893,51.050402,-114.054876
Residential,1,DNW,DOWNTOWN WEST END,2785,51.050146,-114.083173
Residential,1,EAG,EAGLE RIDGE,302,50.989625,-114.094888
Residential,1,EAU,EAU CLAIRE,2030,51.056777,-114.069641
Residential,1,EDG,EDGEMONT,15395,51.138652,-114.121304
Residential,1,EPK,ELBOW PARK,3342,51.030041,-114.074988
Residential,1,EYA,ELBOYA,1754,51.017444,-114.071523
Residential,1,ERI,ERIN WOODS,7049,51.027152,-113.963647
Residential,1,ERL,ERLTON,1270,51.035866,-114.063036
Residential,1,EVN,EVANSTON,17685,51.183217,-114.094589
Residential,1,EVE,EVERGREEN,21500,50.9279,-114.094811
Residential,1,FAI,FAIRVIEW,3646,50.985167,-114.05286
Residential,1,FAL,FALCONRIDGE,10653,51.096055,-113.936674
Residential,1,FHT,FOREST HEIGHTS,6496,51.045191,-113.958309
Residential,1,FLN,FOREST LAWN,7814,51.045191,-113.958207
Residential,1,GAG,GARRISON GREEN,2060,51.004556,-114.125794
Residential,1,GAW,GARRISON WOODS,3116,51.023194,-114.112496
Residential,1,GLA,GLAMORGAN,6522,51.019142,-114.141151
Residential,1,GBK,GLENBROOK,7442,51.030516,-114.156224
Residential,1,GDL,GLENDALE,2765,51.037803,-114.152817
Residential,1,GRV,GREENVIEW,1906,51.103379,-114.054379
Residential,1,GRE,GREENWOOD/GREENBRIAR,896,51.09492,-114.225656
Residential,1,HAM,HAMPTONS,7382,51.15251,-114.149678
Residential,1,HAR,HARVEST HILLS,7420,51.154264,-114.039777
Residential,1,HSN,HASKAYNE,0,51.139199,-114.295412
Residential,1,HAW,HAWKWOOD,9248,51.137134,-114.169412
Residential,1,HAY,HAYSBORO,7080,50.979575,-114.094837
Residential,1,HID,HIDDEN VALLEY,11566,51.154257,-114.094745
Residential,1,HPK,HIGHLAND PARK,3838,51.09565,-114.069163
Residential,1,HIW,HIGHWOOD,2258,51.095952,-114.076944
Residential,1,HIL,HILLHURST,6558,51.066947,-114.084874
Residential,1,HSD,HOMESTEAD,0,51.132626,-113.921255
Residential,1,HKS,HOTCHKISS,0,50.921438,-113.915883
Residential,1,HOU,HOUNSFIELD HEIGHTS/BRIAR HILL,2798,51.064406,-114.094715
Residential,1,HUN,HUNTINGTON HILLS,13420,51.125337,-114.053996
Residential,1,ING,INGLEWOOD,4024,51.043998,-114.0368
Residential,1,KEL,KELVIN GROVE,2305,50.994095,-114.092686
Residential,1,KSH,KEYSTONE HILLS,0,51.175592,-114.036459
Residential,1,KIL,KILLARNEY/GLENGARRY,7685,51.022622,-114.140561
Residential,1,KCA,KINCORA,6889,51.168019,-114.132636
Residential,1,KIN,KINGSLAND,4688,50.994232,-114.071536
Residential,1,LKB,LAKE BONAVISTA,10293,50.948264,-114.054939
Residential,1,LKV,LAKEVIEW,5355,50.994133,-114.117932
Residential,1,LEG,LEGACY,6420,50.863079,-114.021996
Residential,1,LPK,LINCOLN PARK,2617,51.010427,-114.119135
Residential,1,LIV,LIVINGSTON,1477,51.183491,-114.048064
Residential,1,LMR,LOWER MOUNT ROYAL,3457,51.037822,-114.091689
Residential,1,MAC,MACEWAN GLEN,4754,51.131526,-114.107209
Residential,1,MAH,MAHOGANY,11784,50.906853,-113.929056
Residential,1,MAN,MANCHESTER,1025,51.016001,-114.061723
Residential,1,MPL,MAPLE RIDGE,1916,50.963446,-114.023904
Residential,1,MRL,MARLBOROUGH,9162,51.052515,-113.978076
Residential,1,MPK,MARLBOROUGH PARK,8523,51.055779,-113.935132
Residential,1,MRT,MARTINDALE,14245,51.12519,-113.964899
Residential,1,MAF,MAYFAIR,432,50.997515,-114.087109
Residential,1,MAL,MAYLAND HEIGHTS,5961,51.061233,-114.001698
Residential,1,MCK,MCKENZIE LAKE,13406,50.931932,-113.975487
Residential,1,MCT,MCKENZIE TOWNE,18283,50.902412,-113.961966
Residential,1,MEA,MEADOWLARK PARK,644,51.001375,-114.081197
Residential,1,MDH,MEDICINE HILL,0,51.081704,-114.194548
Residential,1,MID,MIDNAPORE,7270,50.923229,-114.060099
Residential,1,MLR,MILLRISE,6900,50.912742,-114.071016
Residential,1,MIS,MISSION,4598,51.036058,-114.061246
Residential,1,MOR,MONTEREY PARK,10372,51.096066,-113.91857
Residential,1,MON,MONTGOMERY,4515,51.081453,-114.164579
Residential,1,MOP,MOUNT PLEASANT,5889,51.081513,-114.071537
Residential,1,NEB,NEW BRIGHTON,13103,50.928758,-113.950713
Residential,1,NOL,NOLAN HILL,7505,51.168402,-114.152021
Residential,1,NGM,NORTH GLENMORE PARK,2391,51.008712,-114.111906
Residential,1,NHV,NORTH HAVEN,2359,51.1022,-114.090662
Residential,1,NHU,NORTH HAVEN UPPER,599,51.102313,-114.081859
Residential,1,OAK,OAKRIDGE,5690,50.967399,-114.11793
Residential,1,OGD,OGDEN,8576,50.999734,-114.013082
Residential,1,PAL,PALLISER,3672,50.963194,-114.106491
Residential,1,PAN,PANORAMA HILLS,25710,51.166095,-114.068814
Residential,1,PKD,PARKDALE,2566,51.061955,-114.13565
Residential,1,PKH,PARKHILL,1691,51.023774,-114.066824
Residential,1,PKL,PARKLAND,3660,50.914889,-114.017077
Residential,1,PAT,PATTERSON,4202,51.075265,-114.186862
Residential,1,PEN,PENBROOKE MEADOWS,8554,51.052415,-113.945764
Residential,1,PCK,PINE CREEK,14,50.86309,-114.047771
Residential,1,PIN,PINERIDGE,10022,51.081513,-113.958402
Residential,1,POI,POINT MCKAY,1343,51.057082,-114.141189
Residential,1,PUM,PUMP HILL,1640,50.962866,-114.095244
Residential,1,QPK,QUEENS PARK VILLAGE,455,51.087377,-114.072362
Residential,1,QLD,QUEENSLAND,4743,50.943018,-114.018508
Residential,1,RAM,RAMSAY,2158,51.0404,-114.038073
Residential,1,RAN,RANCHLANDS,7607,51.123731,-114.183243
Residential,1,RVW,RANGEVIEW,0,50.885067,-113.933931
Residential,1,RED,RED CARPET,1594,51.037943,-113.9352
Residential,1,RSN,REDSTONE,5848,51.168992,-113.946665
Residential,1,REN,RENFREW,6582,51.066997,-114.039244
Residential,1,RIC,RICHMOND,4962,51.03783,-114.111233
Residential,1,RID,RIDEAU PARK,594,51.028854,-114.071527
Residential,1,RIV,RIVERBEND,9244,50.980686,-114.01581
Residential,1,ROC,ROCKY RIDGE,8398,51.154218,-114.254561
Residential,1,RDL,ROSEDALE,1560,51.066973,-114.071534
Residential,1,RMT,ROSEMONT,1254,51.074913,-114.088408
Residential,1,RCK,ROSSCARROCK,3625,51.038252,-114.135413
Residential,1,ROX,ROXBORO,422,51.029099,-114.068988
Residential,1,ROY,ROYAL OAK,11706,51.15414,-114.223744
Residential,1,RUN,RUNDLE,11688,51.066968,-113.958413
Residential,1,RUT,RUTLAND PARK,2263,51.023705,-114.12955
Residential,1,SAD,SADDLE RIDGE,22321,51.138318,-113.92126
Residential,1,SGH,SAGE HILL,7924,51.183217,-114.128863
Residential,1,SAN,SANDSTONE VALLEY,5904,51.14251,-114.090962
Residential,1,SCA,SCARBORO,931,51.04264,-114.106749
Residential,1,SSW,SCARBORO/ SUNALTA WEST,401,51.046867,-114.116745
Residential,1,SCE,SCENIC ACRES,8067,51.09903,-114.210247
Residential,1,SET,SETON,1134,50.870782,-113.92945
Residential,1,SHG,SHAGANAPPI,1626,51.05011,-114.122947
Residential,1,SHS,SHAWNEE SLOPES,1911,50.930758,-114.093763
Residential,1,SHN,SHAWNESSY,9368,50.912759,-114.072135
Residential,1,SHW,SHERWOOD,6246,51.168038,-114.161064
Residential,1,SIG,SIGNAL HILL,13395,51.03781,-114.164254
Residential,1,SIL,SILVER SPRINGS,8679,51.103515,-114.181614
Residential,1,SVO,SILVERADO,7655,50.892586,-114.065204
Residential,1,SKR,SKYVIEW RANCH,11707,51.157985,-113.94672
Residential,1,SOM,SOMERSET,8543,50.902606,-114.080048
Residential,1,SOC,SOUTH CALGARY,4442,51.024003,-114.094692
Residential,1,SOV,SOUTHVIEW,1805,51.037826,-113.98161
Residential,1,SOW,SOUTHWOOD,6246,50.965065,-114.080713
Residential,1,SPH,SPRINGBANK HILL,9943,51.037846,-114.222561
Residential,1,SPR,SPRUCE CLIFF,4673,51.055651,-114.141045
Residential,1,STA,ST. ANDREWS HEIGHTS,1795,51.06239,-114.11796
Residential,1,STR,STRATHCONA PARK,6855,51.052414,-114.164251
Residential,1,SNA,SUNALTA,3239,51.047994,-114.100615
Residential,1,SDC,SUNDANCE,9736,50.907905,-114.035451
Residential,1,SSD,SUNNYSIDE,4230,51.058743,-114.066984
Residential,1,TAR,TARADALE,19026,51.125257,-113.921268
Residential,1,TEM,TEMPLE,10977,51.096076,-113.935127
Residential,1,THO,THORNCLIFFE,8788,51.109041,-114.049737
Residential,1,TUS,TUSCANY,19884,51.106624,-114.224251
Residential,1,TUX,TUXEDO PARK,5326,51.081511,-114.06667
Residential,1,UND,UNIVERSITY DISTRICT,705,51.081483,-114.141033
Residential,1,UNI,UNIVERSITY HEIGHTS,2921,51.070499,-114.124931
Residential,1,UOC,UNIVERSITY OF CALGARY,2367,51.074356,-114.141028
Residential,1,UMR,UPPER MOUNT ROYAL,2478,51.035936,-114.087598
Residential,1,VAL,VALLEY RIDGE,5585,51.102261,-114.259479
Residential,1,VAR,VARSITY,12874,51.085431,-114.128995
Residential,1,VIS,VISTA HEIGHTS,2370,51.074984,-114.016728
Residential,1,WAL,WALDEN,6228,50.868149,-114.010324
Residential,1,WHL,WEST HILLHURST,6447,51.061002,-114.112276
Residential,1,WSP,WEST SPRINGS,10758,51.061506,-114.187806
Residential,1,WGT,WESTGATE,3202,51.038875,-114.152673
Residential,1,WHI,WHITEHORN,12019,51.081492,-113.978382
Residential,1,WLD,WILDWOOD,2709,51.069562,-114.172542
Residential,1,WIL,WILLOW PARK,5328,50.951025,-114.041516
Residential,1,WND,WINDSOR PARK,4584,51.008716,-114.081518
Residential,1,WIN,WINSTON HEIGHTS/MOUNTVIEW,3635,51.083692,-114.047463
Residential,1,WWO,WOLF WILLOW,0,50.877791,-114.005268
Residential,1,WBN,WOODBINE,8866,50.950538,-114.117961
Residential,1,WOO,WOODLANDS,6002,50.950538,-114.117961
Residential,1,YKV,YORKVILLE,14,50.877553,-114.070839
